sample_a	sample_b	peps_jaccard	db_jaccard
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_4_190104205346	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	0.6185274872481838	0.38546751783702593
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_4_190104205346	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	0.6065786791683653	0.3683103384272722
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_4_190104205346	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	0.5863294738980297	0.3548090479985288
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_4_190104205346	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	0.5758529650690496	0.345943285969121
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_5_190104234917	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	0.6262146011951156	0.3905595736581652
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_5_190104234917	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	0.6204503830577554	0.3756989382421311
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_5_190104234917	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	0.596700956876427	0.36429951992019455
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_5_190104234917	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	0.5856260095894977	0.34822928984875834
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	0.6255397264524136	0.39282109512995206
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	0.6048848353686814	0.37934483620905224
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_6	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	0.5905224475111145	0.3639712769278801
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	0.612519666761239	0.3792391440370417
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_7	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	0.5969305123525026	0.36087553005737094
20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_8	20181231_QX7_PhGe_LC95_SA_TechnicalReplicates_9	0.6218210567927264	0.3825282109800938
