native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=16190	16190	1	45.000686			9c0fd66f595b822910d05d76fb7b04c7080a94da89f220048f724a08f70f7af6	True
controllerType=0 controllerNumber=1 scan=16191	16191	2	45.002816	controllerType=0 controllerNumber=1 scan=16190	547.761047363281	2927a5cd37b65064828f42d6d5edcd4572b8bfc3ce8fd6f473a879b540e489af	True
controllerType=0 controllerNumber=1 scan=16192	16192	2	45.003559	controllerType=0 controllerNumber=1 scan=16190	560.6025	d907e6bfb0f622e26de44d3391e8c7382c144b5fdc2868a9d1592a5eb6de1f97	True
controllerType=0 controllerNumber=1 scan=16193	16193	2	45.004297	controllerType=0 controllerNumber=1 scan=16190	660.3162	f37a6c9fbde54c0bacf5c0a298b9cead8fe5e0eb4288cdeac028b9e5dac96f32	True
controllerType=0 controllerNumber=1 scan=16194	16194	2	45.005028	controllerType=0 controllerNumber=1 scan=16190	469.264892578125	c25223d99b6c0526490a8b2d77c2e921e55c5b66bbc031e90ac8deee279abb5b	True
controllerType=0 controllerNumber=1 scan=16195	16195	2	45.005759	controllerType=0 controllerNumber=1 scan=16190	522.800659179688	6f7cd83f964ae2b7d878e1957aaae9d89f3018ef1614f081538a7e82a8877f9b	True
controllerType=0 controllerNumber=1 scan=16196	16196	2	45.006497	controllerType=0 controllerNumber=1 scan=16190	483.732818603516	e4492a69c8937b827a8b3cb7d691821e78cee315f13d884e7f3079d8c5377d07	True
controllerType=0 controllerNumber=1 scan=16197	16197	2	45.007232	controllerType=0 controllerNumber=1 scan=16190	396.1822	94c6f846d32b0e11f92fbf0095c50bde8eb5f76e0bd2cf76a48f4d4bede73411	True
controllerType=0 controllerNumber=1 scan=16198	16198	2	45.007976	controllerType=0 controllerNumber=1 scan=16190	571.6043	d515ee5b0b639faee1b4cd41593c8ed3908ca31eb5b7cb30f77e10085349f900	True
controllerType=0 controllerNumber=1 scan=16199	16199	2	45.008705	controllerType=0 controllerNumber=1 scan=16190	414.756622314453	4d5ec20b870f5ab827c0c217634936265dfc6a5e75b490613b068f97d4dfe76e	True
controllerType=0 controllerNumber=1 scan=16200	16200	2	45.009438	controllerType=0 controllerNumber=1 scan=16190	551.317321777344	79dac8c6d7443abcbb60df1b617dceaffca1aa2f10549ad7d815693b6a0bd9e5	True
controllerType=0 controllerNumber=1 scan=16201	16201	2	45.010178	controllerType=0 controllerNumber=1 scan=16190	465.5465	6b1055d6fcaaac53477afb129eef368ace38e5bd6de97053681a1dc5a5488a3f	True
controllerType=0 controllerNumber=1 scan=16202	16202	2	45.010918	controllerType=0 controllerNumber=1 scan=16190	515.909973144531	75b27011ea415c4f083118d140defe490b5c292dda15cd6e4401f4d9d55f7566	True
controllerType=0 controllerNumber=1 scan=16203	16203	2	45.011659	controllerType=0 controllerNumber=1 scan=16190	489.2757	9388c1018a6e22b3c32ee2f8bf088032867d3ca1a7c4d3a47778408a339e0d67	True
controllerType=0 controllerNumber=1 scan=16204	16204	2	45.012397	controllerType=0 controllerNumber=1 scan=16190	691.278076171875	71cb26f68e176516cd9be4cd6e605cb7633cb977cfb3971bb3d4668c1d4f33e8	True
controllerType=0 controllerNumber=1 scan=16205	16205	2	45.013143	controllerType=0 controllerNumber=1 scan=16190	452.7122	7490b30dde8c07bfa13f2c25bee592105fc3b143e556e06250fb42cb788f30fe	True
controllerType=0 controllerNumber=1 scan=16206	16206	1	45.014251			28d93a410072778dab55dc0cf56dcbe236649f577aaa53c54cbabe7f866447f1	True
controllerType=0 controllerNumber=1 scan=16207	16207	2	45.016895	controllerType=0 controllerNumber=1 scan=16206	406.193115234375	a3ef02d2837d5f73952a8f695279343011b0da910d9309856b790c15821298d5	True
controllerType=0 controllerNumber=1 scan=16208	16208	2	45.01763	controllerType=0 controllerNumber=1 scan=16206	627.8174	84445c51d4f466907764ed94cf2e8ecf7034e123c2ab9a3bc54834ba7546c275	True
controllerType=0 controllerNumber=1 scan=16209	16209	2	45.018372	controllerType=0 controllerNumber=1 scan=16206	533.898	e4dc16402882d5c5876829e4512d38c050552286ad7df9aa2564f408c21c9425	True
controllerType=0 controllerNumber=1 scan=16210	16210	2	45.019101	controllerType=0 controllerNumber=1 scan=16206	454.758422851563	822433f6b855f3a419d32c1f3aea14d6085fd74431e2dda270e4b6df3db11728	True
controllerType=0 controllerNumber=1 scan=16211	16211	2	45.019847	controllerType=0 controllerNumber=1 scan=16206	503.5924	a909e4de1f297f880969fb367654baf45077e706866b9c00328d2f62bbeb173c	True
controllerType=0 controllerNumber=1 scan=16212	16212	2	45.020588	controllerType=0 controllerNumber=1 scan=16206	522.26	45568cb50c0da7c1a51fac07a9660c273b7104e811949c5951672d32b81f54e4	True
controllerType=0 controllerNumber=1 scan=16213	16213	2	45.021328	controllerType=0 controllerNumber=1 scan=16206	489.27783203125	7bdd5348e50d60363fb48daba2e9f65b8fb72aa578a8e2147c3406d903f661a3	True
controllerType=0 controllerNumber=1 scan=16214	16214	2	45.022059	controllerType=0 controllerNumber=1 scan=16206	503.823944091797	4e017f9a1181a1aa04a2a2e7d2c5351022d2ffc17030c10b9b84999acfbadd04	True
controllerType=0 controllerNumber=1 scan=16215	16215	2	45.02279	controllerType=0 controllerNumber=1 scan=16206	466.258178710938	d1f998898308ba577a80eac92a37f612704b6c4a778c11e06c7f7b27bb8c7b26	True
controllerType=0 controllerNumber=1 scan=16216	16216	2	45.023528	controllerType=0 controllerNumber=1 scan=16206	713.3414	2e239691aee318a76c8051830f8f990423a895f6ae367c2b506feeaf181a7b17	True
controllerType=0 controllerNumber=1 scan=16217	16217	2	45.024263	controllerType=0 controllerNumber=1 scan=16206	414.890960693359	fffc9c77086aba7f389f0a86b48de4dc634ed93436fdc538798be652fe8b1fd0	True
controllerType=0 controllerNumber=1 scan=16218	16218	2	45.025001	controllerType=0 controllerNumber=1 scan=16206	641.873291015625	b6201d6a9a57c1b995d156a1ef2067e3b27a78cba5ffa576afc0207cf4e75883	True
