native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18156	18156	2	48.257074	controllerType=0 controllerNumber=1 scan=18154	664.3437	8cf028fd41fc8d37f610e41f8cd0b057bdfe03ae69e88c0e363bdb9bdaed3151	True
controllerType=0 controllerNumber=1 scan=18157	18157	2	48.257724	controllerType=0 controllerNumber=1 scan=18154	481.7539	8bf2015465005e6b83dd1bffb7acbad7191811c5a4da51a5e0b6f2cb48803b8d	True
controllerType=0 controllerNumber=1 scan=18158	18158	2	48.258459	controllerType=0 controllerNumber=1 scan=18154	632.336669921875	f061a0a59d5fe69626e63694b2a320e6baa371246c60ee23876624a0990ec6cd	True
controllerType=0 controllerNumber=1 scan=18159	18159	2	48.259199	controllerType=0 controllerNumber=1 scan=18154	764.347534179688	d4e4090b7cd71105e0fe940d414a32a83e9270ddc4dd3254e266cea9423483e2	True
controllerType=0 controllerNumber=1 scan=18160	18160	2	48.259937	controllerType=0 controllerNumber=1 scan=18154	666.350219726563	76236d64ec8f4734f9285d763a444f544479bd8e490f82c9a6c46dfbfc08fd91	True
controllerType=0 controllerNumber=1 scan=18161	18161	2	48.26067	controllerType=0 controllerNumber=1 scan=18154	556.807434082031	dba354df3a9875d2a87fcfb10510a8eca2a4dd34e5e1bc64814ce3d15a8c0221	True
controllerType=0 controllerNumber=1 scan=18162	18162	2	48.260991	controllerType=0 controllerNumber=1 scan=18154	683.2809	485737f9ddee7525675390a36295f79f9b37cde13dfeebff1062dfe933b6d380	True
controllerType=0 controllerNumber=1 scan=18163	18163	2	48.261726	controllerType=0 controllerNumber=1 scan=18154	602.8097	dc56b3ae550b49a82d0cb1c4d92ba5ebc8b948982c365fa86fd3575da5f54cb9	True
controllerType=0 controllerNumber=1 scan=18164	18164	2	48.262459	controllerType=0 controllerNumber=1 scan=18154	536.309143066406	84cd9ce8f6031336129313f5749727397290b6751f1c52ced4a94cda0a5bee9e	True
controllerType=0 controllerNumber=1 scan=18165	18165	2	48.263191	controllerType=0 controllerNumber=1 scan=18154	485.2325	61109656bc45e5dbab7d55e8a7b646fa208bfa8700a4485acc4b4e28cb853f94	True
controllerType=0 controllerNumber=1 scan=18166	18166	2	48.263926	controllerType=0 controllerNumber=1 scan=18154	583.2912	102060dc5850a9fe7502c9c22ba33673735b690309854abcae72cbbd9f4771f7	True
controllerType=0 controllerNumber=1 scan=18167	18167	2	48.264659	controllerType=0 controllerNumber=1 scan=18154	393.2158	8f4f9eddf52eb36bf12184e908316c2cd2a6dff726f77d5fbb623349a108363b	True
controllerType=0 controllerNumber=1 scan=18168	18168	2	48.265428	controllerType=0 controllerNumber=1 scan=18154	857.0111	31db17dcdb33fce9214bd78bd19dcab83b35889034432f8e18ac5a4578f534e3	True
controllerType=0 controllerNumber=1 scan=18169	18169	2	48.266166	controllerType=0 controllerNumber=1 scan=18154	658.754516601563	cfab60a394c94e84abb5a2bb3ffacdae454f9f2185431ca1123aca0b7d8eb4c5	True
controllerType=0 controllerNumber=1 scan=18170	18170	1	48.267236			031c01d739883aa0ee01d207a76695f79f592ee04de4048dd712de690352ff71	True
controllerType=0 controllerNumber=1 scan=18171	18171	2	48.269366	controllerType=0 controllerNumber=1 scan=18170	468.734039306641	5238907b5d2f64821878f43e3f44ecbe82ac10156272e24283927f19b5b1b951	True
controllerType=0 controllerNumber=1 scan=18172	18172	2	48.270101	controllerType=0 controllerNumber=1 scan=18170	389.1965	5357611ea9888f0a172c339a2b34f79d020bbf3ce52426ef684618d22dd71726	True
