sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_61df7e6c058b427763a22334ba1db636aa0f5347e40b76bc40d74d0fba0e6f4c	CAMPI_61df7e6c058b427763a22334ba1db636aa0f5347e40b76bc40d74d0fba0e6f4c	1	1	9120154.346685557
S01	CAMPI_630cd92e4207164055095c5e8a43d948e874fb8a212b3071a89b90c150e7e609	CAMPI_630cd92e4207164055095c5e8a43d948e874fb8a212b3071a89b90c150e7e609	1	1	36023584.616650924
S01	CAMPI_63b017a2e9a0cfdc79d68ea6774609db62468fed03691bfe7a2fd8da7542a009	CAMPI_63b017a2e9a0cfdc79d68ea6774609db62468fed03691bfe7a2fd8da7542a009	2	2	89958636.70317145
S01	CAMPI_63d66af6c397d7c95ad86eb3e4d336364785c281fa6699be0e47e3ad5f448b73	CAMPI_63d66af6c397d7c95ad86eb3e4d336364785c281fa6699be0e47e3ad5f448b73	1	1	144263567.20701718
S01	CAMPI_64a19b7cebab22278a0e899f6f00bebea0ccfd17f6b6db34fa9ea05b34b4d7c6	CAMPI_64a19b7cebab22278a0e899f6f00bebea0ccfd17f6b6db34fa9ea05b34b4d7c6	1	1	3846973.24455414
S01	CAMPI_6599a29f34fd1fa9481faa595e3d214134acddff02bd815d0fd0c9164010e842	CAMPI_6599a29f34fd1fa9481faa595e3d214134acddff02bd815d0fd0c9164010e842	1	1	27702434.031406574
S01	CAMPI_66119f8e34716756f1c1c8e34b56ab2d6a637520ef5399037d117d8f5224fe3c	CAMPI_66119f8e34716756f1c1c8e34b56ab2d6a637520ef5399037d117d8f5224fe3c	1	1	13012437.365614044
S01	CAMPI_661e3da9454aab945fdf961973bacf8716852154e676e54eef5aab7e94f44ea6	CAMPI_661e3da9454aab945fdf961973bacf8716852154e676e54eef5aab7e94f44ea6	1	1	10151881.885825878
S01	CAMPI_66dbd31904c2b835aa073d90a9e7f6c009f747ba4592e5a972d8573708ea09a2	CAMPI_66dbd31904c2b835aa073d90a9e7f6c009f747ba4592e5a972d8573708ea09a2	1	1	394166.36662581697
S01	CAMPI_678026560546b71f3ad8294436dc8d6d17a34fe968320d98df480ec727c18de0	CAMPI_678026560546b71f3ad8294436dc8d6d17a34fe968320d98df480ec727c18de0	6	6	140682344.4031906
S01	CAMPI_678c888876b52f6eb84aa107760c4309749e18cd45dee2aa39f62031b9aca902	CAMPI_678c888876b52f6eb84aa107760c4309749e18cd45dee2aa39f62031b9aca902	1	1	2034351.9565233225
S01	CAMPI_696611347527f2bebb07c467081c08d56a13ae1be4e8bced1ed53f76af3e399d	CAMPI_696611347527f2bebb07c467081c08d56a13ae1be4e8bced1ed53f76af3e399d	1	1	13597928.617199263
S01	CAMPI_6a580efa8bfb827b8920e2cbada3fd66da9ca18154cceb4f719b10ee7fc58e66	CAMPI_6a580efa8bfb827b8920e2cbada3fd66da9ca18154cceb4f719b10ee7fc58e66	1	1	527950722.11856705
S01	CAMPI_6b257fe5f55240e2c4021f762ef3e239eba65dffc493310c11d8864d11a9af9b	CAMPI_6b257fe5f55240e2c4021f762ef3e239eba65dffc493310c11d8864d11a9af9b	2	2	53691726.64387701
S01	CAMPI_6b2c3c4ceb8bbacc6396ca7c3daaad802f96a62be89c0786e0c6775467b671b2	CAMPI_6b2c3c4ceb8bbacc6396ca7c3daaad802f96a62be89c0786e0c6775467b671b2	3	3	253423081.48486218
S01	CAMPI_6c0620125fafe91b24dc9df5b54ed3d077dcdab6288b737f7712d8858ac4fe78	CAMPI_6c0620125fafe91b24dc9df5b54ed3d077dcdab6288b737f7712d8858ac4fe78	1	1	11920781.678685607
S01	CAMPI_6d05d6ca2fdd178e29298442c7d4ff48036c0047c87d3a000af781149d01dd17	CAMPI_6d05d6ca2fdd178e29298442c7d4ff48036c0047c87d3a000af781149d01dd17	3	3	416618925.3506354
S01	CAMPI_6e145860d2e7e0b58293fd640e2321c945f01aef769226364df65daa2202e080	CAMPI_6e145860d2e7e0b58293fd640e2321c945f01aef769226364df65daa2202e080	3	3	30407969.966696963
S01	CAMPI_6f5f6314b40129b2ccc5cf9876ad8f2e757963ad2b4d3332bf37c39c36be2667	CAMPI_6f5f6314b40129b2ccc5cf9876ad8f2e757963ad2b4d3332bf37c39c36be2667	1	1	109715365.0469676
S01	CAMPI_6fa80ad4f82f1364de2e30bb677bd2a35cec785064e1b1fcfaea17c7d0ef80ae	CAMPI_6fa80ad4f82f1364de2e30bb677bd2a35cec785064e1b1fcfaea17c7d0ef80ae	1	1	61860171.886289515
S01	CAMPI_717b8ddb48995ea9852e1fe7cf4e9d1966881344904dce20cae5f576988e1077	CAMPI_717b8ddb48995ea9852e1fe7cf4e9d1966881344904dce20cae5f576988e1077	2	2	115938431.00180659
S01	CAMPI_71a7e0b8d89a7edb55d6b2478c2448aafd9c989cdcf04a636ea27054e0c81015	CAMPI_71a7e0b8d89a7edb55d6b2478c2448aafd9c989cdcf04a636ea27054e0c81015	1	1	60995567.77740911
S01	CAMPI_74ffaa4f792075eebac9e7c790a1e36b29b4c94db399c890688226daeb2bcb9c	CAMPI_74ffaa4f792075eebac9e7c790a1e36b29b4c94db399c890688226daeb2bcb9c	1	1	10357181.208475301
S01	CAMPI_750850f42b00ef9cbccd53525b9c41f916e135f5a8239556dc60b347489344b6	CAMPI_750850f42b00ef9cbccd53525b9c41f916e135f5a8239556dc60b347489344b6	1	1	54847485.603638716
S01	CAMPI_755c87a37d9fa3238abd5db0c25e44136a420125bdd86188e7fbb19571974e3c	CAMPI_755c87a37d9fa3238abd5db0c25e44136a420125bdd86188e7fbb19571974e3c	1	1	59498932.429702625
S01	CAMPI_76ca201a28ddf8a4a849ef4b622c171c09ade58d6e884ceebc44ef5e1ae3248b	CAMPI_76ca201a28ddf8a4a849ef4b622c171c09ade58d6e884ceebc44ef5e1ae3248b	1	1	4582002.65879768
S01	CAMPI_777d8761c2369259e5f7a72f4941274d5ce6c2f4bf378002436a4aadf516118b	CAMPI_777d8761c2369259e5f7a72f4941274d5ce6c2f4bf378002436a4aadf516118b	2	2	701194894.2765454
S01	CAMPI_7b1083b3d9937bde51f6760c52a9aa1e216da0668ea840cf21d40c4ba3dc0a8e	CAMPI_7b1083b3d9937bde51f6760c52a9aa1e216da0668ea840cf21d40c4ba3dc0a8e	1	1	19224141.549296144
S01	CAMPI_7b4586c243bb949bd5290db515893d27c38134e11db4c6fb0962f6d0bc75da08	CAMPI_7b4586c243bb949bd5290db515893d27c38134e11db4c6fb0962f6d0bc75da08	1	1	7746218.43720851
S01	CAMPI_7c3b8d7c41f810f59caf6176c72d81aca97a3b2f87b4a33eda268c782000a097	CAMPI_7c3b8d7c41f810f59caf6176c72d81aca97a3b2f87b4a33eda268c782000a097	1	1	184489186.76670673
S01	CAMPI_7cb1e4d122178b054c32ee50ef164d0d60b9618226ddad845bb280bf56dcb5a7	CAMPI_7cb1e4d122178b054c32ee50ef164d0d60b9618226ddad845bb280bf56dcb5a7	5	5	228896813.83125705
S01	CAMPI_7e2b006a5271fee3d99ebb924772f760defa6ae56e445178cf41a6816ae83f19	CAMPI_7e2b006a5271fee3d99ebb924772f760defa6ae56e445178cf41a6816ae83f19	1	1	18143293.093856603
S01	CAMPI_7e40167ba4a395401b8b0405c48ef00c84fb64aa054936c9159b65943d4a2bac	CAMPI_7e40167ba4a395401b8b0405c48ef00c84fb64aa054936c9159b65943d4a2bac	2	2	68353392.07509556
S01	CAMPI_7ea830f0a6514249c59c18cdc7adc67fded0ad438490c69292e9f4613d786a0f	CAMPI_7ea830f0a6514249c59c18cdc7adc67fded0ad438490c69292e9f4613d786a0f	2	2	160172532.39179352
S01	CAMPI_7ed2496b95c1bd171f646822a6cd1fcc5574cef0d740bcfe5528a228b81e5bf1	CAMPI_7ed2496b95c1bd171f646822a6cd1fcc5574cef0d740bcfe5528a228b81e5bf1	1	1	17462708.78265501
S01	CAMPI_7ee75b4a9a86c56cb6322179c2fee2ed3f7ba8da8f7d89d9c9513036ac1c6497	CAMPI_7ee75b4a9a86c56cb6322179c2fee2ed3f7ba8da8f7d89d9c9513036ac1c6497	1	1	55627926.75322153
S01	CAMPI_8201e0f8fcf42630a24d9a3f871ee8a8bf66bf82aac41f58e16ad9c867f6ac27	CAMPI_8201e0f8fcf42630a24d9a3f871ee8a8bf66bf82aac41f58e16ad9c867f6ac27	1	1	11064719.092824016
S01	CAMPI_823704d5021f8c118c05f1f01477f6b3c7b073cff40519893a0ba670aa0b1ea4	CAMPI_823704d5021f8c118c05f1f01477f6b3c7b073cff40519893a0ba670aa0b1ea4	1	1	2882596.97456285
S01	CAMPI_826d9620925c796b66f528e59c8bad1ea8cd17d76b7fc7c7e6c7bd7c4b665843	CAMPI_826d9620925c796b66f528e59c8bad1ea8cd17d76b7fc7c7e6c7bd7c4b665843	1	1	20845869.349931613
S01	CAMPI_827455a114db45f91930eace0d95b2e2b614bb6bec1241aab77bfaf9017fb528	CAMPI_827455a114db45f91930eace0d95b2e2b614bb6bec1241aab77bfaf9017fb528	2	2	19634390.218568265
S01	CAMPI_840a34ca5ccb74284520f0001a21de955bac82a37309b1b7ecb5cd6b6c69294a	CAMPI_840a34ca5ccb74284520f0001a21de955bac82a37309b1b7ecb5cd6b6c69294a	2	2	345798435.4062476
S01	CAMPI_84f66a8aec4e6d7ec18bdeccdf299197490c287490244300b183e0d89eb7ea9c	CAMPI_84f66a8aec4e6d7ec18bdeccdf299197490c287490244300b183e0d89eb7ea9c	2	2	165799404.4712688
S01	CAMPI_856b5201e2f688faec715fbf6e7fd8b1f3943571af087169dbada11391a365a7	CAMPI_856b5201e2f688faec715fbf6e7fd8b1f3943571af087169dbada11391a365a7	1	1	22353022.921807595
S01	CAMPI_866739b821dad26d292886dcd2d5cc63e2972905ec6d45121d31cfc4d8cda6f1	CAMPI_866739b821dad26d292886dcd2d5cc63e2972905ec6d45121d31cfc4d8cda6f1	3	3	217560992.34877586
S01	CAMPI_8705d933a7c632b988c611c49e614497dec018112f8793530be3d25454f71439	CAMPI_8705d933a7c632b988c611c49e614497dec018112f8793530be3d25454f71439	2	2	71109633.567175
S01	CAMPI_873ba2f6e00a9b1262ca2d2051a6094bec3b00dde09187198387671f53fe6f20	CAMPI_873ba2f6e00a9b1262ca2d2051a6094bec3b00dde09187198387671f53fe6f20	4	4	1347224873.815681
S01	CAMPI_879e92f6a383e8c6ddbe16c784eadf24e374476454feb86b9cf16ff700c25a37	CAMPI_879e92f6a383e8c6ddbe16c784eadf24e374476454feb86b9cf16ff700c25a37	3	3	66574834.11677861
S01	CAMPI_882e9c3dd451e40db5dcd1d63cb33adc48e7804d0e67ba477b947ae8a42de1f6	CAMPI_882e9c3dd451e40db5dcd1d63cb33adc48e7804d0e67ba477b947ae8a42de1f6	1	1	63653767.13268359
S01	CAMPI_885060078ff2bda2c54fc5f76cb8a5a834b57959ec2ffbf14e4d2cc4f6539ac2	CAMPI_885060078ff2bda2c54fc5f76cb8a5a834b57959ec2ffbf14e4d2cc4f6539ac2	2	2	22624076.077723585
S01	CAMPI_89f2dc6f14ad1f87039c6a9ea53eee4091960da1e0d3d9bffa35d8cfce667147	CAMPI_89f2dc6f14ad1f87039c6a9ea53eee4091960da1e0d3d9bffa35d8cfce667147	2	2	83361977.17271101
S01	CAMPI_8a07dda38060381f735a7faba509a27f650d654190a1f97d6ea197364db5495e	CAMPI_8a07dda38060381f735a7faba509a27f650d654190a1f97d6ea197364db5495e	1	1	14863883.426059375
S01	CAMPI_8ab7e22c762a2c81592c267b7de5f749d7dfd956907ef2b0db20d80083cf4310	CAMPI_8ab7e22c762a2c81592c267b7de5f749d7dfd956907ef2b0db20d80083cf4310	1	1	94565616.51673901
S01	CAMPI_8b2bda4037f3dc50552b60a4a393d19a693570df2b5580bb4bab7020d03778d0	CAMPI_8b2bda4037f3dc50552b60a4a393d19a693570df2b5580bb4bab7020d03778d0	1	1	89098935.36325061
S01	CAMPI_8b9961cc9da37de018df0b80a1b363618ea56e109ff83e0ff46c8a8d6bfb9019	CAMPI_8b9961cc9da37de018df0b80a1b363618ea56e109ff83e0ff46c8a8d6bfb9019	4	4	1492558521.235848
S01	CAMPI_8d50e56399582a65f73f3193a3f00454a5d9896402a6088a1e6b8a133620e818	CAMPI_8d50e56399582a65f73f3193a3f00454a5d9896402a6088a1e6b8a133620e818	2	2	120894387.55820866
S01	CAMPI_8dfb30b4cc7fc1e6f6e1c0c842d6a29748eea21a38b0a953c5c31d2b91bd49ff	CAMPI_8dfb30b4cc7fc1e6f6e1c0c842d6a29748eea21a38b0a953c5c31d2b91bd49ff	1	1	10897289.791996805
S01	CAMPI_8fa503b37012a9c4b81f3de74db8f7c745ccecbd8bb5ef5b69f3b4f51e89ded2	CAMPI_8fa503b37012a9c4b81f3de74db8f7c745ccecbd8bb5ef5b69f3b4f51e89ded2	1	1	46211997.8124608
S01	CAMPI_909db3ee5c06b16e93a325ace28953f8a911eea79003e979b1adca8c65aeb96d	CAMPI_909db3ee5c06b16e93a325ace28953f8a911eea79003e979b1adca8c65aeb96d	2	2	51222583.901016496
S01	CAMPI_914a8abad3ebc40cb0cd5ee55350834b4d5f8aa00e7dcb484f5d2511e3ca4a21	CAMPI_914a8abad3ebc40cb0cd5ee55350834b4d5f8aa00e7dcb484f5d2511e3ca4a21	1	1	86913437.16671239
S01	CAMPI_93c1fbcae852bc15a5534ac7d11083cbb61df5991d528e5750f53b9d51afc033	CAMPI_93c1fbcae852bc15a5534ac7d11083cbb61df5991d528e5750f53b9d51afc033	1	1	90948358.2878025
S01	CAMPI_9507bb300d0e8c78a6f9a33e38173eff60502faf9e839c63c48f403cd8872fe7	CAMPI_9507bb300d0e8c78a6f9a33e38173eff60502faf9e839c63c48f403cd8872fe7	2	2	1488620718.6610115
S01	CAMPI_96e38bab966f83b9d36b74e3f385a0b967ace755ec001dfb278529779765361a	CAMPI_96e38bab966f83b9d36b74e3f385a0b967ace755ec001dfb278529779765361a	1	1	31683709.981866132
S01	CAMPI_974bf023085d2bed2ca9099cff2fe40c8e370d0d457431bbc3734abfc032a6bf	CAMPI_974bf023085d2bed2ca9099cff2fe40c8e370d0d457431bbc3734abfc032a6bf	1	1	301747034.4200496
S01	CAMPI_974de55d62a1efd87cf7554e16de4da0e0827f2f2ea7afc59ccd18f156f7f6b6	CAMPI_974de55d62a1efd87cf7554e16de4da0e0827f2f2ea7afc59ccd18f156f7f6b6	1	1	99630990.91596761
S01	CAMPI_97b81d5cbe0cafe7ca665f20f367b00e08551187d280afee7a53c4d0af02c398	CAMPI_97b81d5cbe0cafe7ca665f20f367b00e08551187d280afee7a53c4d0af02c398	2	2	35997944.91966811
S01	CAMPI_98d3e7d52f0f00f79ef2d9a855fc6616eb4ca10c020223d93eb515b502f1210d	CAMPI_98d3e7d52f0f00f79ef2d9a855fc6616eb4ca10c020223d93eb515b502f1210d	1	1	10719709.031399492
S01	CAMPI_99662b50f2662eb6731df5d55620cf8defa57ae87c394657043266b415104b7b	CAMPI_99662b50f2662eb6731df5d55620cf8defa57ae87c394657043266b415104b7b	2	2	39146041.875623375
S01	CAMPI_9a5e958be6d10eb82e6523cfe7af152d7f5e853a6b460bef73ed7389f73ee654	CAMPI_9a5e958be6d10eb82e6523cfe7af152d7f5e853a6b460bef73ed7389f73ee654	1	1	25160786.557494536
S01	CAMPI_9ad0dcb772649c73af2a47f7766d6e450d13e4e299b6178a51b8e521ffee7238	CAMPI_9ad0dcb772649c73af2a47f7766d6e450d13e4e299b6178a51b8e521ffee7238	1	1	26632186.255042214
S01	CAMPI_9bb69513d86991ff62f3435ee0281d4c28fcf2b59ebd1e109b85d36f88369fe5	CAMPI_9bb69513d86991ff62f3435ee0281d4c28fcf2b59ebd1e109b85d36f88369fe5	1	1	8468757.055800237
S01	CAMPI_9bf80da47588e1f40ecfd708b432e3f81c470bc32313098c2cd66d3e9853925c	CAMPI_9bf80da47588e1f40ecfd708b432e3f81c470bc32313098c2cd66d3e9853925c	1	1	1574834976.0372505
S01	CAMPI_9cc6d6ae1d8930dbcd3e244ff6ab9d8e374198e8a533f64bc83c699473e81487	CAMPI_9cc6d6ae1d8930dbcd3e244ff6ab9d8e374198e8a533f64bc83c699473e81487	1	1	38322325.90755192
S01	CAMPI_9d61d8df13d57df52dce2835a4b4ec70f2c574a99c230d40a572369fa89ca1a8	CAMPI_9d61d8df13d57df52dce2835a4b4ec70f2c574a99c230d40a572369fa89ca1a8	1	1	24302479.829145208
S01	CAMPI_9eaec67346036de2c9a24447ad90c65dfc11747b4a344ddd7ccc4e3bd65e833e	CAMPI_9eaec67346036de2c9a24447ad90c65dfc11747b4a344ddd7ccc4e3bd65e833e	1	1	1968799.1370496477
S01	CAMPI_9f97b13e396de0372364554aa7ee0e583a37f1c089dd25744aa98f688840317a	CAMPI_9f97b13e396de0372364554aa7ee0e583a37f1c089dd25744aa98f688840317a	1	1	24916393.579237334
S01	CAMPI_a03ff877e06092d17ce47b10fd4a3b4c4ebe36e06de43edb3854a2b87343d2af	CAMPI_a03ff877e06092d17ce47b10fd4a3b4c4ebe36e06de43edb3854a2b87343d2af	1	1	41976179.03637837
S01	CAMPI_a06f6e1d7892e6c7b54052f5d415ea109153e636634693d57071d4881e04b121	CAMPI_a06f6e1d7892e6c7b54052f5d415ea109153e636634693d57071d4881e04b121	1	1	35460046.007287115
S01	CAMPI_a0a7e40bec6187f653966f74391f0d65ba8bc9b727b4a272bab4e2614cc3b856	CAMPI_a0a7e40bec6187f653966f74391f0d65ba8bc9b727b4a272bab4e2614cc3b856	3	3	265511341.8579061
S01	CAMPI_a131658876b864902264ffe6c74a25a17a9556f12ffff973cafc86a1929a8599	CAMPI_a131658876b864902264ffe6c74a25a17a9556f12ffff973cafc86a1929a8599	2	2	55039022.767245576
S01	CAMPI_a221f8cbbed1eab940d1b8d3ad3a5b46485c0e3919d5428dbcb791a8db5a2f41	CAMPI_a221f8cbbed1eab940d1b8d3ad3a5b46485c0e3919d5428dbcb791a8db5a2f41	1	1	27724645.969768524
S01	CAMPI_a23b3bc03b272db0c286206696f7ea2f2a9daa2c400e8b116234c57fdcf9f8b2	CAMPI_a23b3bc03b272db0c286206696f7ea2f2a9daa2c400e8b116234c57fdcf9f8b2	2	2	33121431.257854126
S01	CAMPI_a554b3e76d27f4b4b6f01ab359567692dcd49e741788dd3001443d6cbd87154f	CAMPI_a554b3e76d27f4b4b6f01ab359567692dcd49e741788dd3001443d6cbd87154f	1	1	141657893.12684837
S01	CAMPI_a6053f0d606ad43bb2eb0f7e135e64ab90b84a7593257b3f55df9bc3a4b32515	CAMPI_a6053f0d606ad43bb2eb0f7e135e64ab90b84a7593257b3f55df9bc3a4b32515	3	3	240331882.66834795
S01	CAMPI_a7a2447ddc81bde23aebcb6edc2c526efea7c6d3184baf77a24ce3a9cfe3b076	CAMPI_a7a2447ddc81bde23aebcb6edc2c526efea7c6d3184baf77a24ce3a9cfe3b076	1	1	193887232.267439
S01	CAMPI_a92cdaca0c80cede65b42cda50d9f61b8a5bfcbfa11c7b6f18659d1636fb2c5c	CAMPI_a92cdaca0c80cede65b42cda50d9f61b8a5bfcbfa11c7b6f18659d1636fb2c5c	1	1	131463318.90050845
S01	CAMPI_a9618c41b68f75e8e97cd88bdc30713a6155dcab1aad592f6085fea7a6f8a2b9	CAMPI_a9618c41b68f75e8e97cd88bdc30713a6155dcab1aad592f6085fea7a6f8a2b9	3	3	128342220.9566242
S01	CAMPI_aa7fb1d2cbc476cd1ced4f6157e8cf1cdc823d842804e64bc7f5362fcab74ed8	CAMPI_aa7fb1d2cbc476cd1ced4f6157e8cf1cdc823d842804e64bc7f5362fcab74ed8	2	2	27286470.79917126
S01	CAMPI_ab6c1c4144a8d52a0c11282c8bf46cbd564f6b91d16747a797d09b7108d497d0	CAMPI_ab6c1c4144a8d52a0c11282c8bf46cbd564f6b91d16747a797d09b7108d497d0	2	2	111230468.60139771
S01	CAMPI_aba940f4b363e74a9dbffe70ebbf7bdf6f4160b6b9ab05acd69fe1573f73c891	CAMPI_aba940f4b363e74a9dbffe70ebbf7bdf6f4160b6b9ab05acd69fe1573f73c891	1	1	28904077.45535845
S01	CAMPI_ac2c392dddf7daa09dca7fa2c4cee1088202352ce8a4c5d8bb7140d956ca7da0	CAMPI_ac2c392dddf7daa09dca7fa2c4cee1088202352ce8a4c5d8bb7140d956ca7da0	1	1	22338681.091734573
S01	CAMPI_ae81bb230064105607d4ddfad53785f8b5a4eb96ab62be30e3f0b31205759b38	CAMPI_ae81bb230064105607d4ddfad53785f8b5a4eb96ab62be30e3f0b31205759b38	1	1	27444969.225091137
S01	CAMPI_aee9fab70ac382ed2ee679af908749db6deb60e0efb9e7ae0e402a46ec940b2d	CAMPI_aee9fab70ac382ed2ee679af908749db6deb60e0efb9e7ae0e402a46ec940b2d	1	1	236680400.9212915
S01	CAMPI_af26e961ea75d85bebc3db3e5569faa45103280c43027a50b4174b28a88707cc	CAMPI_af26e961ea75d85bebc3db3e5569faa45103280c43027a50b4174b28a88707cc	1	1	71416249.5698869
S01	CAMPI_b1210b97943fefabcd91af2947d3e8801a3ef13decf51c6d84ed1919e6b90603	CAMPI_b1210b97943fefabcd91af2947d3e8801a3ef13decf51c6d84ed1919e6b90603	1	1	14844811.050059551
S01	CAMPI_b1f9ffb88edaf08114a7fe59d27d19b308284c35a185276a8263e00913278aa5	CAMPI_b1f9ffb88edaf08114a7fe59d27d19b308284c35a185276a8263e00913278aa5	5	5	113698698.65029117
S01	CAMPI_b230dcf0660cb8c1cd1652ea1e642ca6b1b257772ee4aeab50135b69d72d53d2	CAMPI_b230dcf0660cb8c1cd1652ea1e642ca6b1b257772ee4aeab50135b69d72d53d2	2	2	373377717.0608051
S01	CAMPI_b2feec17697beab005c489d357e6255b6fb487588978f76c954d40ff0148562e	CAMPI_b2feec17697beab005c489d357e6255b6fb487588978f76c954d40ff0148562e	1	1	22230579.911715712
S01	CAMPI_b50e440550ce44428252905370716a4298e07130aa4a57112a5fcb86cc7ed199	CAMPI_b50e440550ce44428252905370716a4298e07130aa4a57112a5fcb86cc7ed199	1	1	10505976.756213173
S01	CAMPI_b5910857234040795a36f8e5fa093485ca40e2c88efaa12681433f93c12f54da	CAMPI_b5910857234040795a36f8e5fa093485ca40e2c88efaa12681433f93c12f54da	2	2	77890693.06115861
S01	CAMPI_b5d121012d1ac962d847f23d62c40f7a2ebf1b5d843413eb20dd892f8baab5dc	CAMPI_b5d121012d1ac962d847f23d62c40f7a2ebf1b5d843413eb20dd892f8baab5dc	3	3	128837887.52506158
S01	CAMPI_b60fc4ca7c6fa639bae387c81b9347abc6f14e898ed3ca880f43117884b20e4a	CAMPI_b60fc4ca7c6fa639bae387c81b9347abc6f14e898ed3ca880f43117884b20e4a	4	6	572156796.971589
S01	CAMPI_b6b3c1b3136a3f49909a093187cc7fadcfa80a7b48a66ed801a10686ba9961d7	CAMPI_b6b3c1b3136a3f49909a093187cc7fadcfa80a7b48a66ed801a10686ba9961d7	1	1	45754830.15135748
S01	CAMPI_b6bdb392c4fd0a7436770243ad24941cb07e529d82971179eea50bfea25891e2	CAMPI_b6bdb392c4fd0a7436770243ad24941cb07e529d82971179eea50bfea25891e2	3	3	79266136.95190193
S01	CAMPI_b6e3bebba43205a65788d29d5467730c63e8c400cec86a986d21e107d4ae5c8e	CAMPI_b6e3bebba43205a65788d29d5467730c63e8c400cec86a986d21e107d4ae5c8e	2	2	29827145.345022626
S01	CAMPI_b791d3adfce588baac8e6043713d92a5718ed1bb150a6c3ecc9eaec86e27715e	CAMPI_b791d3adfce588baac8e6043713d92a5718ed1bb150a6c3ecc9eaec86e27715e	4	4	56260237.28330205
S01	CAMPI_b79778969f69d6616a787e58cae48cbd1106a527f65ac80a0542ec34d2dbf408	CAMPI_b79778969f69d6616a787e58cae48cbd1106a527f65ac80a0542ec34d2dbf408	3	3	80254667.89400336
S01	CAMPI_b7d14ff72c23fbe268018b7e2012704d95ca90e7da11ac6fea733bfa455a0f9b	CAMPI_b7d14ff72c23fbe268018b7e2012704d95ca90e7da11ac6fea733bfa455a0f9b	1	1	28975022.691962928
S01	CAMPI_b83c4f9bba40bb78b1ab1407e425da49ce2d58b096db5068bb91c00e8ac2ac04	CAMPI_b83c4f9bba40bb78b1ab1407e425da49ce2d58b096db5068bb91c00e8ac2ac04	1	1	343292297.3390107
S01	CAMPI_b8bbbe9b7e74c60f770b138b958222735df68e52ab06e8043228685b6834a947	CAMPI_b8bbbe9b7e74c60f770b138b958222735df68e52ab06e8043228685b6834a947	1	1	23665601.47751665
S01	CAMPI_b9298f8456a3be31b06cf2d6542b3b7bb625bbc63daa118e0084f6c68af507d2	CAMPI_b9298f8456a3be31b06cf2d6542b3b7bb625bbc63daa118e0084f6c68af507d2	1	1	33331982.94665798
S01	CAMPI_b98307b4a1948ef3752db1aa148c4b9803dd197d63d31426dfdb0eac83c3fe19	CAMPI_b98307b4a1948ef3752db1aa148c4b9803dd197d63d31426dfdb0eac83c3fe19	1	1	161031706.70692563
S01	CAMPI_ba306ff47f5de90d8d7d6adac029beeb9fdf36760d6e22bb495095cb89bea822	CAMPI_ba306ff47f5de90d8d7d6adac029beeb9fdf36760d6e22bb495095cb89bea822	2	2	132861674.07424566
S01	CAMPI_bb1edfe9c0c480377afbcdb595ea635eb835ffc3189dd04ee42c3774e031d63c	CAMPI_bb1edfe9c0c480377afbcdb595ea635eb835ffc3189dd04ee42c3774e031d63c	1	1	19388860.77124598
S01	CAMPI_bb9d3c674ac610f94cbe88ba22907cc50e5588bb589ef788e7ad224a2c9dcdd2	CAMPI_bb9d3c674ac610f94cbe88ba22907cc50e5588bb589ef788e7ad224a2c9dcdd2	1	1	52576240.9643827
S01	CAMPI_bbff7d7dc262be33b28650a91a1eb991db16e7c92bb1aab1b1785fc085ad434a	CAMPI_bbff7d7dc262be33b28650a91a1eb991db16e7c92bb1aab1b1785fc085ad434a	3	3	127768903.88842347
S01	CAMPI_bc49333500d3fa4a332bc50111b531c5de9011ea2e3b7d0322d7afe85f41da71	CAMPI_bc49333500d3fa4a332bc50111b531c5de9011ea2e3b7d0322d7afe85f41da71	1	1	21603876.949978504
S01	CAMPI_bc780d1affa177ececeec189fd2c86800d55d9e5d3c51b9d2d36e720fb942bae	CAMPI_bc780d1affa177ececeec189fd2c86800d55d9e5d3c51b9d2d36e720fb942bae	1	1	69202508.7380558
S01	CAMPI_bd4b18ca2ac863b63917b7004bca3b183025a99fd3d5f73b9a3e21def391cd54	CAMPI_bd4b18ca2ac863b63917b7004bca3b183025a99fd3d5f73b9a3e21def391cd54	1	1	15113776.452478044
S01	CAMPI_be3dfaf12466b2a02f164ba3c64a62a778d8a993de1a51d5bd2963fd935cc309	CAMPI_be3dfaf12466b2a02f164ba3c64a62a778d8a993de1a51d5bd2963fd935cc309	3	3	871944195.9062206
S01	CAMPI_beaa6e2f56d3ac717610e9af37aeb7e80fbd51ae60613a010533ce67b589a76c	CAMPI_beaa6e2f56d3ac717610e9af37aeb7e80fbd51ae60613a010533ce67b589a76c	1	1	37589807.617778316
S01	CAMPI_bff78aae0fc87ac7d587f2cc98987e46df9055226e7470b3cbb51fa6defbc03b	CAMPI_bff78aae0fc87ac7d587f2cc98987e46df9055226e7470b3cbb51fa6defbc03b	1	1	17951677.00220973
S01	CAMPI_c0ba3a99447f2e7a547a99a5b8af66ecf6740279619c2c1e571f89e65bbfcedb	CAMPI_c0ba3a99447f2e7a547a99a5b8af66ecf6740279619c2c1e571f89e65bbfcedb	1	1	40606684.02270344
S01	CAMPI_c199edab90a3c273db2cd2ce9ad861da8025a20dece9d035d21bc5c48aeb63e3	CAMPI_c199edab90a3c273db2cd2ce9ad861da8025a20dece9d035d21bc5c48aeb63e3	1	1	29731391.67502878
