sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_1e6233c65aae6fbfc8728d135e3fce46cd1c8438842744349d2d441ed20b4dd6	CAMPI_1e6233c65aae6fbfc8728d135e3fce46cd1c8438842744349d2d441ed20b4dd6	1	1	24245674.21518474
S01	CAMPI_20404d4ef97b34596ae6968813dbcaf74646bea1efbbf2ade5d99d11104611e0	CAMPI_20404d4ef97b34596ae6968813dbcaf74646bea1efbbf2ade5d99d11104611e0	5	5	156205657.5929547
S01	CAMPI_20ea7d2b7072afaed64e1025a7fb0440a8e0f8ad3ea0346df57645000e95606f	CAMPI_20ea7d2b7072afaed64e1025a7fb0440a8e0f8ad3ea0346df57645000e95606f	1	1	52321420.94896391
S01	CAMPI_20fe61b6495a3d307d69b9b16f15c4c87605ca358a215a7b3f1b7a41cc9e3666	CAMPI_20fe61b6495a3d307d69b9b16f15c4c87605ca358a215a7b3f1b7a41cc9e3666	1	1	15946327.972651357
S01	CAMPI_2367acb13a0c9276550b2c96f4bebf4251672a60ce226f62d69ebf3d5c99efd6	CAMPI_2367acb13a0c9276550b2c96f4bebf4251672a60ce226f62d69ebf3d5c99efd6	1	1	398430313.2268126
S01	CAMPI_24d5128477b896e4a33619209757fe3fd161636ce67350d7ca184bb2b4c19c83	CAMPI_24d5128477b896e4a33619209757fe3fd161636ce67350d7ca184bb2b4c19c83	2	2	95293017.68062113
S01	CAMPI_260e2168d020c1a7ab2a0a14584ad2f0b5bf72548f6e9b9e83fdf4819e532b32	CAMPI_260e2168d020c1a7ab2a0a14584ad2f0b5bf72548f6e9b9e83fdf4819e532b32	2	2	712975503.1383315
S01	CAMPI_26cc765e13bb37fee8adf7c9a30de09fd19603b20974bd67be4c120552e3b8d8	CAMPI_26cc765e13bb37fee8adf7c9a30de09fd19603b20974bd67be4c120552e3b8d8	1	1	57429912.486592315
S01	CAMPI_27136565a962b202adf771b1892940b3d8807ac28ddea51a641245a0e497af32	CAMPI_27136565a962b202adf771b1892940b3d8807ac28ddea51a641245a0e497af32	1	1	55009976.35431561
S01	CAMPI_27369016b6a408150bc5b7fc6fb782d53aa2b6ee5dbf2c151de10b1a50454bc4	CAMPI_27369016b6a408150bc5b7fc6fb782d53aa2b6ee5dbf2c151de10b1a50454bc4	1	1	9341984.901061406
